{0: 0.02, 1: 0.03, 2: 0.02, 3: 0, 4: 0, 5: 0, 6: 0.01, 7: 0.03, 8: 0.05}
{0: 0.08, 1: 0.08, 2: 0.07, 3: 0.08, 4: 0.08, 5: 0.07, 6: 0.07, 7: 0.08, 8: 0.09}
{0: 0.09, 1: 0.09, 2: 0.08, 3: 0.05, 4: 0.01, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.01, 5: 0.02, 6: 0.01, 7: 0.01, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.01}
{0: 0.01, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}
{0: 0, 1: 0, 2: 0.01, 3: 0.04, 4: 0.07, 5: 0.08, 6: 0.09, 7: 0.1, 8: 0.11}
{0: 0.12, 1: 0.11, 2: 0.09, 3: 0.09, 4: 0.09, 5: 0.09, 6: 0.08, 7: 0.07, 8: 0.07}
{0: 0.07, 1: 0.08, 2: 0.07, 3: 0.08, 4: 0.07, 5: 0.09, 6: 0.11, 7: 0.12, 8: 0.14}
{0: 0.18, 1: 0.19, 2: 0.19, 3: 0.2, 4: 0.19, 5: 0.18, 6: 0.15, 7: 0.12, 8: 0.09}
{0: 0.05, 1: 0.06, 2: 0.08, 3: 0.1, 4: 0.12, 5: 0.14, 6: 0.17, 7: 0.2, 8: 0.24}
{0: 0.28, 1: 0.28, 2: 0.3, 3: 0.3, 4: 0.3, 5: 0.3, 6: 0.31, 7: 0.31, 8: 0.3}
{0: 0.31, 1: 0.31, 2: 0.32, 3: 0.35, 4: 0.37, 5: 0.39, 6: 0.4, 7: 0.41, 8: 0.4}
